#,"Country,
Other","Total
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
1,USA,98166904.00,"1,084,282",,94962112.00,"2,120,510","2,970","293,206","3,239","1,118,158,870","3,339,729","334,805,269"
2,India,44587307.00,"528,629",,44019095.00,"39,583",698,"31,698",376,"894,416,853","635,857","1,406,631,776"
3,France,35342950.00,"155,078",,34527115.00,"660,757",869,"538,892","2,365","271,490,188","4,139,547","65,584,518"
4,Brazil,34706757.00,"686,027",,33838636.00,"182,094","8,318","161,162","3,186","63,776,166","296,146","215,353,593"
5,Germany,33312373.00,"149,948",,32315200.00,"847,225","1,406","397,126","1,788","122,332,384","1,458,359","83,883,596"
6,S. Korea,24769101.00,"28,406",42,24013461.00,"727,234",352,"482,547",553,"15,804,065","307,892","51,329,899"
7,UK,23621952.00,"189,919",,23347871.00,"84,162",146,"344,857","2,773","522,526,476","7,628,357","68,497,907"
8,Italy,22432803.00,"177,054",,21779604.00,"476,145",141,"372,250","2,938","246,636,495","4,092,684","60,262,770"
9,Japan,21229216.00,"44,678",,20380089.00,"804,449",204,"169,043",356,"76,201,407","606,772","125,584,838"
10,Russia,20948470.00,"387,163",,19979763.00,"581,544","2,300","143,674","2,655","273,400,000","1,875,095","145,805,947"
11,Turkey,16873793.00,"101,139",,16754301.00,"18,353",975,"197,211","1,182","162,743,369","1,902,052","85,561,976"
12,Spain,13412263.00,"114,084",,13218892.00,"79,287",339,"287,083","2,442","471,036,328","10,082,298","46,719,142"
13,Vietnam,11477886.00,"43,148",,10590917.00,"843,821",106,"115,993",436,"85,826,548","867,342","98,953,541"
14,Australia,10209239.00,"14,984",,10133494.00,"60,761",49,"391,627",575,"78,835,048","3,024,116","26,068,792"
15,Argentina,9708420.00,"129,897",,9563348.00,"15,175",294,"211,006","2,823","35,716,069","776,264","46,010,234"
16,Netherlands,8422336.00,"22,643",,8362464.00,"37,229",35,"489,345","1,316","21,107,399","1,226,358","17,211,447"
17,Iran,7548320.00,"144,421",,7325370.00,"78,529",157,"87,748","1,679","54,095,556","628,851","86,022,837"
18,Mexico,7084488.00,"330,065",,6353953.00,"400,470","4,798","53,849","2,509","18,393,211","139,806","131,562,772"
19,Indonesia,6429767.00,"158,093",,6253317.00,"18,357","2,771","23,035",566,"108,656,989","389,264","279,134,505"
20,Taiwan,6417941.00,"11,003",,5603195.00,"803,743",,"268,661",461,"25,998,416","1,088,319","23,888,595"
21,Colombia,6307372.00,"141,794",,6134690.00,"30,888",342,"122,443","2,753","36,572,720","709,974","51,512,762"
22,Poland,6289672.00,"117,539",,5335940.00,"836,193","3,086","166,659","3,114","37,335,609","989,290","37,739,785"
23,Portugal,5490639.00,"25,024",,5394788.00,"70,827",61,"541,453","2,468","44,988,307","4,436,467","10,140,570"
24,Ukraine,5177217.00,"109,206",,4973554.00,"94,457",177,"119,865","2,528","19,521,252","451,963","43,192,122"
25,Austria,5118512.00,"20,738",,5006572.00,"91,202",47,"564,539","2,287","197,543,761","21,787,811","9,066,710"
26,Greece,4920192.00,"33,111",,4836903.00,"50,178",115,"476,918","3,209","94,139,966","9,125,063","10,316,637"
27,Malaysia,4838872.00,"36,369",,4777329.00,"25,174",43,"145,832","1,096","64,604,259","1,947,021","33,181,072"
28,DPRK,4772813.00,74,,4772739.00,0,,"183,636",3,,,"25,990,679"
29,Thailand,4681309.00,"32,767",9,4642083.00,"6,459","1,496","66,801",468,"17,270,775","246,450","70,078,203"
30,Israel,4661096.00,"11,698",,4641394.00,"8,004",101,"499,796","1,254","41,373,364","4,436,346","9,326,000"
31,Chile,4620377.00,"61,141",,4540886.00,"18,350",124,"240,017","3,176","45,128,974","2,344,339","19,250,195"
32,Belgium,4533249.00,"32,659",,4451569.00,"49,021",48,"388,511","2,799","35,555,508","3,047,194","11,668,278"
33,Canada,4233468.00,"44,992",,4131367.00,"57,109",99,"110,280","1,172","64,928,884","1,691,366","38,388,419"
34,Peru,4143085.00,"216,539",,3914598.00,"11,948",147,"122,998","6,429","35,126,382","1,042,815","33,684,208"
35,Czechia,4100480.00,"41,059",,4035333.00,"24,088",39,"381,910","3,824","56,212,735","5,235,528","10,736,784"
36,Switzerland,4084307.00,"14,183",,4012833.00,"57,291",54,"465,520","1,617","22,318,542","2,543,819","8,773,637"
37,South Africa,4018769.00,"102,185",,3909265.00,"7,319",192,"66,146","1,682","26,174,429","430,811","60,756,135"
38,Philippines,3945566.00,"62,916",,3854478.00,"28,172",696,"35,069",559,"32,796,350","291,500","112,508,994"
39,Romania,3267370.00,"67,016",,3180124.00,"20,230",123,"171,684","3,521","25,094,131","1,318,569","19,031,335"
40,Denmark,3110831.00,"7,065",,3093396.00,"10,370",,"533,138","1,211","128,397,719","22,004,939","5,834,950"
41,Sweden,2588441.00,"20,194",,2548125.00,"20,122",13,"253,298","1,976","18,965,590","1,855,920","10,218,971"
42,Iraq,2459982.00,"25,355",,2433704.00,923,21,"58,342",601,"19,239,264","456,286","42,164,965"
43,Serbia,2359530.00,"17,000",,2298536.00,"43,994",33,"272,683","1,965","11,030,499","1,274,758","8,653,016"
44,Hungary,2094142.00,"47,503",,2014175.00,"32,464",18,"217,998","4,945","11,394,556","1,186,160","9,606,259"
45,Bangladesh,2024489.00,"29,362",,1964501.00,"30,626","1,331","12,059",175,"14,872,260","88,586","167,885,689"
46,Singapore,1904192.00,"1,617",,1821160.00,"81,415",9,"320,380",272,"24,345,019","4,096,043","5,943,546"
